Latitude,Longitude
40.5755711,-85.84099309999999
,
37.988115,-121.3633571
30.369117,-94.300243
,
39.8613113,-86.1987491
34.0480882,-118.2507244
38.479405,-95.4663949
35.2470856,-91.7934113
,
,
45.3867862,-112.1227597
30.3198433,-92.4737911
29.6960765,-95.1877464
30.349274,-83.937023
29.0535264,-95.5713066
,
,
35.7595731,-79.01929969999999
,
38.0835109,-84.6662448
33.756076,-85.69097599999999
35.1583197,-86.137671
32.4697857,-96.8154466
40.521366,-122.2370631
31.2490108,-89.4768533
31.9484311,-88.7752232
,
29.633588,-98.9287519
-26.491408,149.2420166
51.4994135,-0.3476274
,
46.46006939999999,-119.0581658
,
29.7158324,-95.2751713
,
33.7504108,-86.10481550000002
,
,
40.831318,-73.9703064
33.3699945,-96.36555039999999
27.8546328,-82.8158043
41.8809857,-87.63965979999999
33.9924015,-102.0019719
,
,
48.2728487,-105.9578612
,
36.5122033,-103.0157057
33.288065,-96.499861
38.9380912,-77.04493269999999
46.5864082,-120.4140999
40.5844291,-98.3560388
,
51.5137254,0.0288674
30.31427,-91.79032099999999
35.1539863,-76.9086008
40.8819285,-73.8421066
34.4697533,-99.65300459999999
35.0372659,-80.8275515
40.52255419999999,-122.2364373
39.0797061,-108.3941109
,
38.8393283,-77.4113714
43.57449870000001,-116.7524371
38.41958760000001,-122.8143026
,
40.831318,-73.9703064
37.916734,-76.847781
30.2654285,-97.74133359999999
39.1164271,-108.3434517
38.8826227,-119.384997
34.54237,-78.2835545
,
40.5951301,-112.425472
38.7314241,-121.6074373
39.6585126,-86.1688786
30.6222731,-91.47982089999999
38.57017039999999,-123.2500528
32.9279695,-97.1151975
36.0620906,-86.809763
,
38.9253632,-76.9956504
34.6949591,-87.0235807
39.4986957,-75.81302389999999
,
36.033051,-95.9529168
38.3519718,-78.3101073
46.2534312,-119.319664
48.27462999999999,-109.5205246
,
,
38.9027512,-76.9902005
36.2090435,-81.0681753
47.7199406,-122.135546
48.1225921,-122.0978703
38.173434,-107.7232358
39.731419,-104.6297249
46.4962465,-120.3477868
,
45.8050922,-108.5953113
47.07154939999999,-105.5898655
38.3170273,-98.8753265
41.0772583,-74.0137013
45.7030772,-104.3339307
47.4611466,-120.331044
,
,
,
35.7591268,-86.7856927
38.53681419999999,-98.5408949
31.4372002,-110.1250407
40.8934152,-111.8736183
25.8335137,-80.29332920000002
,
,
35.286355,-80.70393870000001
30.1294661,-91.8201107
31.6103956,-91.7588447
30.5493175,-92.52187909999999
